Name	TIC_ID	Sector	Author	Exptime	Magnitude	RMS	Max_freq	Max_FAP	log(Alpha)	log(Tau)	Gamma	log(Bias)	Type	TypeColor	bump	lc_q	T-NUV	D(UV)	binarity_filter	A-B	Gamma2	Gamma_Tau	max_slope	Unnamed: 24	CROWDSAP
2_V1016_Cyg	171876171	82	SPOC	20	11.21310043	5889.06201171875	0.1179689026151759	1.091507270602466e-58	8.807947382967626	-1.5582716055002834	2.035667498933824	7.290668794043944	Merc	1	0	1	-999.0	-999.0	0	1.5172785889236815	3.088674710300112	1.982115761718248	-1.43895205	-2.18329113	0.81358725
2_V1016_Cyg	171876171	82	SPOC	120	11.21310043	2499.19677734375	0.1121751878941159	0.0036353083364848	6.879004883827975	-1.74132471619291	2.05986402312459	6.530630257473461	Merc	1	0	1	-999.0	-999.0	0	0.3483746263545137	0.7176043593971345	0.4121025519961871	-0.58712282	-0.20453869	0.81357944
2_V1016_Cyg	171876171	81	SPOC	120	11.21310043	2662.501220703125	0.1126809557002162	3.915675090368008e-81	8.08949218897727	-1.4416153910605327	2.307200809151648	6.612528174665077	Merc	1	0	1	-999.0	-999.0	0	1.476964014312192	3.407652568908956	2.363773715264025	-1.60451315	-2.36980818	0.78599739
2_V1016_Cyg	171876171	75	SPOC	120	11.21310043	2605.07861328125	0.0740142275594096	8.640862324329633e-26	7.903327391318525	-1.4348337773712652	2.4776401770894663	6.575622528958031	Merc	1	0	1	-999.0	-999.0	0	1.327704862360494	3.2895749103014	2.2926522654966868	-1.61114839	-2.13912955	0.83871657
2_V1016_Cyg	171876171	41	TESS-SPOC	600	11.21310043	1254.04296875	0.206950443874107	1.0658165447054415e-26	7.0439615261803725	-1.5600909989640506	2.0083605616119877	5.908364235895259	Merc	1	0	1	-999.0	-999.0	0	1.135597290285114	2.2806888116820625	1.461894731266645	-1.17664487	-1.33619473	0.76656371
2_V1016_Cyg	171876171	55	TESS-SPOC	600	11.21310043	1277.6956787109375	0.097596836106175	1.3744427942927663e-16	6.866134568391057	-1.630952812157919	1.893604938490448	5.925116886103059	Merc	1	0	1	-999.0	-999.0	0	0.9410176822879972	1.781915730387387	1.0925611808656366	-0.97422435	-0.91676234	0.74156868
2_V1016_Cyg	171876171	54	TESS-SPOC	600	11.21310043	1390.404296875	0.185004048751511	1.964209356501217e-82	7.574608120704881	-1.477410990503341	2.232080303471469	5.975734720528335	Merc	1	0	1	-999.0	-999.0	0	1.5988734001765463	3.568813824278525	2.4155863515423435	-1.62720091	-2.60168825	0.74729711
2_V1329_Cyg	230861869	41	SPOC	20	10.96430016	4371.3642578125	0.3008465841483319	0.0	10.504958738546506	-1.2233472888161043	1.6433630244601516	7.011042451671878	Merc	1	1	1	-4.3756998	-3.1695045	1	3.493916286874628	5.74177283640887	4.693493735507826	-1.58554962	-5.53977765	0.95799816
2_V1329_Cyg	230861869	41	SPOC	120	10.96430016	2150.535400390625	0.0676963745071545	0.0	9.55653999641152	-1.4231651014006723	1.90225068062958	6.254603848181714	Merc	1	0	1	-4.3756998	-3.1695045	1	3.3019361482298057	6.2811102853655605	4.413479700411233	-1.81914524	-6.00670141	0.95799816
2_V1329_Cyg	230861869	55	SPOC	20	10.96430016	3982.78369140625	0.0570598801667045	0.0	11.14130521027441	-1.4424731357103908	2.15869374958736	6.952292443709357	Merc	1	0	1	-4.3756998	-3.1695045	1	4.189012766565053	9.042795676125635	6.268952573367843	-2.12424123	-8.89847361	0.94253123
2_V1329_Cyg	230861869	55	SPOC	120	10.96430016	1675.6103515625	0.0957198727798609	0.0	8.631247863807355	-1.383120360836388	2.250563592168382	6.180949929064019	Merc	1	0	1	-4.3756998	-3.1695045	1	2.450297934743336	5.51455132189873	3.9870364706105694	-1.99802534	-4.89575737	0.94253123
2_V1329_Cyg	230861869	75	SPOC	20	10.96430016	4139.63427734375	0.207593391223582	0.0	10.34795257526909	-1.4091550041522105	2.15711412940826	6.997685708391325	Merc	1	0	1	-4.3756998	-3.1695045	1	3.350266866877765	7.226907995830369	5.12854013542555	-2.06786697	-6.92790618	0.95756805
2_V1329_Cyg	230861869	82	SPOC	20	10.96430016	4301.04931640625	0.3945142456536684	0.0	10.093984915303448	-1.5355754274998288	1.9591648997825115	7.026844260811489	Merc	1	0	1	-4.3756998	-3.1695045	1	3.0671406544919586	6.009034312976604	3.913213382660276	-1.8477815	-5.66740576	0.9155634
2_V1329_Cyg	230861869	82	SPOC	120	10.96430016	2181.505126953125	0.1353822320607339	0.0	10.0802122839097	-1.2852026896587048	2.049007091574772	6.292163323033839	Merc	1	0	1	-4.3756998	-3.1695045	1	3.788048960875861	7.761739184067087	6.039311344834078	-1.99736475	-7.56611546	0.91556245
2_V1329_Cyg	230861869	75	SPOC	120	10.96430016	1798.6807861328125	0.0812362700066434	8.128904336847982e-146	8.41451509809073	-1.4052584127633916	1.92481025624638	6.255862377419986	Merc	1	0	1	-4.3756998	-3.1695045	1	2.1586527206707435	4.154996896421199	2.956749348506331	-1.62972048	-3.51800055	0.95756805
2_V1329_Cyg	230861869	41	TESS-SPOC	600	10.96430016	5356.3515625	0.0526775005867381	0.0	9.556750962504644	-1.4177649780116346	2.384160665414125	6.870854149324636	Merc	1	0	1	-4.3756998	-3.1695045	1	2.6858968131800083	6.403609533344927	4.516693269095815	-2.1772861	-5.8479658	0.90454096
2_V1329_Cyg	230861869	55	TESS-SPOC	600	10.96430016	1033.5997314453125	0.0754984613458086	9.507135053566968e-138	8.944738758810546	-1.4170648601938407	2.2652805871831774	5.55307407357881	Merc	1	0	1	-4.3756998	-3.1695045	1	3.391664685231736	7.683072169690193	5.421821107496253	-2.17583243	-7.37969403	0.88643163
2_AG_Dra	237100139	78	SPOC	20	8.375	984.4488525390624	0.3074532491181432	0.0	9.177182097359328	-1.5272532638689174	2.6699075273248143	5.774156291121901	Merc	1	0	1	-4.265	-5.849025	1	3.4030258062374266	9.0857642157539	5.949088098680745	-2.56582479	-8.73156798	0.99986941
2_AG_Dra	237100139	74	SPOC	20	8.375	2563.00537109375	0.0524218564442897	0.0	10.55162134017527	-1.2538025683352323	2.25047481373024	6.495305539866183	Merc	1	0	1	-4.265	-5.849025	1	4.056315800309087	9.128636545131622	7.280760763835725	-2.20868446	-8.95912169	0.99978775
2_AG_Dra	237100139	83	SPOC	20	8.375	994.4556884765624	0.3691711931726006	0.0	10.049851038535998	-1.3892553341276266	2.3058636374781907	5.780450780452442	Merc	1	0	1	-4.265	-5.849025	1	4.269400258083556	9.844654808954871	7.086281813801174	-2.27229152	-9.70132201	0.99973381
2_AG_Dra	237100139	82	SPOC	20	8.375	1011.645263671875	0.1141000712281364	0.0	9.738832747923096	-1.4065726363514697	2.056819232876544	5.7858364853812265	Merc	1	0	1	-4.265	-5.849025	1	3.952996262541868	8.13059874028521	5.780432897781444	-2.01385138	-7.96074699	0.99978423
2_AG_Dra	237100139	75	SPOC	20	8.375	2039.551025390625	0.1010873813677797	0.0	10.026337235954472	-1.4522668502631098	2.335303048608433	6.352893164785094	Merc	1	0	1	-4.265	-5.849025	1	3.673444071169378	8.57860513829442	5.907044656937683	-2.26826422	-8.33234176	0.99961531
2_AG_Dra	237100139	81	SPOC	20	8.375	1000.4454956054688	0.1070417717918771	0.0	9.857489793410124	-1.2570282403483213	2.268563386567545	5.806483797505852	Merc	1	0	1	-4.265	-5.849025	1	4.051005995904271	9.189963881074023	7.310865091246871	-2.22618126	-9.01827364	0.99981892
2_AG_Dra	237100139	80	SPOC	20	8.375	1022.1505126953124	0.094522987967365	0.0	10.667174340869416	-1.3765182703207166	2.0342104810455712	5.866834712828558	Merc	1	0	1	-4.265	-5.849025	1	4.800339628040858	9.764901183939113	7.093913240733067	-2.01808444	-9.6874907	0.99985576
2_AG_Dra	237100139	76	SPOC	20	8.375	1043.09423828125	0.171714706649796	0.0	10.222412163551514	-1.3694876782439842	2.188240523033376	5.840066615233226	Merc	1	0	1	-4.265	-5.849025	1	4.382345548318288	9.589626114764997	7.00234567065344	-2.16024067	-9.46692106	0.99928939
